08:05:01.652 INFO     fbb.web.launcher       | Session log : C:\Falcon\Admin\Logiciels annexes\FBB\_internal\Log\fbb_log_20260903_080501.txt
08:05:01.653 INFO     fbb.web.launcher       | FBB version : 1.87.0
08:05:01.654 INFO     fbb.web.launcher       | Icône fenêtre : C:\Falcon\Admin\Logiciels annexes\FBB\_internal\Art\FBB.ico
08:05:01.684 INFO     fbb.web.launcher       | TLS : truststore actif (vérification via magasin Windows)
08:05:01.697 WARNING  fbb.license            | Licence liée à une empreinte héritée (4FD0-33FB-FE2E) — acceptée. Empreinte actuelle : CAD2-8830-D9AD. Demande une licence régénérée à Obe1 pour repasser sur la vérification rapide.
08:05:01.697 INFO     fbb.license            | Licence valide — Obe1, expire 2030-01-01
08:05:01.697 INFO     fbb.license_gate       | Licence OK — Obe1 (expire 2030-01-01)
08:05:01.719 ERROR    fbb.web.launcher       | FBB est déjà en cours d'exécution (PID 24516, API répondante). Ferme la fenêtre existante avant de relancer.
08:05:01.719 ERROR    fbb.web.launcher       | FBB est déjà en cours d'exécution et répond. Ferme la fenêtre FBB existante avant de relancer. Si elle est introuvable, tue python.exe dans le Gestionnaire des tâches.
